,faq_question,faq_answer,claim,faq_category,date_collected
43,What can I do if my child has difficulties adjusting to new routines and following recommendations?,"Helping children understand and follow recommendations, like social distancing and wearing cloth face coverings, can be challenging if your child has intellectual disabilities, sensory issues, or other special healthcare needs.

Keeping children at home and sheltering in place can lower stress created by social distancing and cloth face covering recommendations. Reach out to others for help in running essential errands.
Behavioral techniques can be used to address behavioral challenges and to develop new routines. These include social stories, video modeling, picture schedules, and visual cues. Try rewarding your child in small ways with his or her favorite non-food treat or activities to help switch routines and to follow recommendations.
Many of the organizations you turn to for information and support around your child’s complex, chronic medical condition may have information on their websites to help families address issues related to COVID-19.
Your child’s therapist(s) and/or teachers may also have resources to help successfully introduce new routines to your child.

Additional information on caring for children and on child development specific conditions are available.","Helping children understand and follow recommendations, like social distancing and wearing cloth face coverings, can be challenging if your child has intellectual disabilities, sensory issues, or other special healthcare needs",Children and Youth with Special Healthcare Needs,06/09/20
44,How can my family cope with the added stress?,"Supporting children with special healthcare needs can put additional demands and stress on families, especially during emergency situations. You have likely found ways to manage the stress and challenges unique to your family’s situation. It is important to continue your family’s coping methods, including reaching out to other family members, friends, support groups, and organizations that have been helpful in the past.
See information on ways to cope with stress (such as visiting parks, trails, or open spaces) and making your family stronger.
If you, or someone you care about, are feeling overwhelmed with emotions like sadness, depression, or anxiety, or feel like you want to harm yourself or others:

Call 911
Visit the Disaster Distress Helplineexternal icon, call 1-800-985-5990, or text TalkWithUs to 66746
Visit the National Domestic Violence Hotlineexternal icon or call 1-800-799-7233 and TTY 1-800-787-3224

","Supporting children with special healthcare needs can put additional demands and stress on families, especially during emergency situations",Children and Youth with Special Healthcare Needs,06/09/20
45,What if my child or someone else in the home is sick with symptoms of COVID-19?,"If your child with special healthcare needs becomes sick with symptoms of COVID-19, contact your child’s healthcare provider. If your child has new or worsening emergency warning signs, such as trouble breathing, pain or pressure in the chest, confusion or inability to wake them up, or bluish lips or face, call 911. If you think your child may have COVID-19, notify the operator so that first responders may be appropriately prepared to protect themselves and others.
Notify your child’s healthcare provider if someone else in your house becomes sick with COVID-19, so they can provide any advice specific for your child.
See additional information if someone in the home is sick with COVID-19 or suspected of having COVID-19.","If your child with special healthcare needs becomes sick with symptoms of COVID-19, contact your child’s healthcare provider",Children and Youth with Special Healthcare Needs,06/09/20
46,"What if my child’s symptoms of their underlying medical condition or complex, chronic medical condition get worse?","

Call your child’s healthcare provider if you have any concerns about your child’s medical conditions. If you need emergency help, call 911.
Emergency departments have infection prevention plans to protect you and your child from getting COVID-19 if your child needs care for medical conditions not related to COVID-19. Do not delay getting emergency care for your child’s underlying condition or complex medical condition because you are afraid of getting exposed to COVID-19 when visiting the healthcare setting.

","

Call your child’s healthcare provider if you have any concerns about your child’s medical conditions",Children and Youth with Special Healthcare Needs,06/09/20
47,What if my child needs to go to the hospital?,"If your child’s healthcare provider tells you to go to the hospital for any health problem, including COVID-19:

Ask the healthcare provider to let the hospital know you are coming and to share the important information the hospital will need to know to care for your child.
Visiting policies may have changed due to COVID-19. If your child’s hospital policy does not allow an adult to stay with a child, ask your child’s healthcare provider for a statement explaining your child’s need for a familiar adult to be present.
Bring your care plans/emergency notebook with you along with paper and pen to write down questions you have during your time at the hospital.

","If your child’s healthcare provider tells you to go to the hospital for any health problem, including COVID-19:

Ask the healthcare provider to let the hospital know you are coming and to share the important information the hospital will need to know to care for your child",Children and Youth with Special Healthcare Needs,06/09/20
48,How can my family and I prepare for COVID-19?,"Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community:

Talk with the people who need to be included in your plan, and discuss what to do if a COVID-19 outbreak occurs in your community.
Plan ways to care for those who might be at greater risk for serious complications, particularly older adults and those with severe chronic medical conditions like heart, lung or kidney disease.

Make sure they have access to several weeks of medications and supplies in case you need to stay home for prolonged periods of time.


Get to know your neighbors and find out if your neighborhood has a website or social media page to stay connected.
Create a list of local organizations that you and your household can contact in the event you need access to information, healthcare services, support, and resources.
Create an emergency contact list of family, friends, neighbors, carpool drivers, health care providers, teachers, employers, the local public health department, and other community resources.

","Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community:

Talk with the people who need to be included in your plan, and discuss what to do if a COVID-19 outbreak occurs in your community",Preparing Your Home and Family for COVID-19,06/09/20
49,What steps can my family take to reduce our risk of getting COVID-19?,"Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same. These actions are especially important for older adults and people who have severe chronic medical conditions:

Avoid close contact with people who are sick.
Stay home when you are sick, except to get medical care.
Cover your coughs and sneezes with a tissue and throw the tissue in the trash.
Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
Clean and disinfect frequently touched surfaces and objects (e.g., tables, countertops, light switches, doorknobs, and cabinet handles).
Launder items, including washable plush toys, as appropriate and in accordance with the manufacturer’s instructions. If possible, launder items using the warmest appropriate water setting for the items and dry items completely. Dirty laundry from an ill person can be washed with other people’s items.

",Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same,Preparing Your Home and Family for COVID-19,06/09/20
50,What should I do if someone in my house gets sick with COVID-19?,"Most people who get COVID-19 will be able to recover at home. CDC has directions for people who are recovering at home and their caregivers, including:

Stay home when you are sick, except to get medical care.

When to Seek Emergency Medical AttentionLook for emergency warning signs* for COVID-19. If someone is showing any of these signs, seek emergency medical care immediately

Trouble breathing
Persistent pain or pressure in the chest
New confusion
Inability to wake or stay awake
Bluish lips or face

*This list is not all possible symptoms. Please call your medical provider for any other symptoms that are severe or concerning to you.
Call 911 or call ahead to your local emergency facility: Notify the operator that you are seeking care for someone who has or may have COVID-19.



Use a separate room and bathroom for sick household members (if possible).
Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
Provide your sick household member with clean disposable facemasks to wear at home, if available, to help prevent spreading COVID-19 to others.
Clean the sick room and bathroom, as needed, to avoid unnecessary contact with the sick person.
Avoid sharing personal items like utensils, food, and drinks.

",Most people who get COVID-19 will be able to recover at home,Preparing Your Home and Family for COVID-19,06/09/20
51,"How can I prepare in case my child’s school, child care facility, or university is dismissed?","Talk to the school or facility about their emergency operations plan. Understand the plan for continuing education and social services (such as student meal programs) during school dismissals. If your child attends a college or university, encourage them to learn about the school’s plan for a COVID-19 outbreak.",Talk to the school or facility about their emergency operations plan,Preparing Your Home and Family for COVID-19,06/09/20
52,How can I prepare for COVID-19 at work?,"Plan for potential changes at your workplace. Talk to your employer about their emergency operations plan, including sick-leave policies and telework options. Learn how businesses and employers can plan for and respond to COVID-19.",Plan for potential changes at your workplace,Preparing Your Home and Family for COVID-19,06/09/20
53,Should I use soap and water or a hand sanitizer to protect against COVID-19?,"Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol.",Handwashing is one of the best ways to protect yourself and your family from getting sick,Preparing Your Home and Family for COVID-19,06/09/20
54,What cleaning products should I use to protect against COVID-19?,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.  If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See CDC’s recommendations for household cleaning and disinfection.","Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks",Preparing Your Home and Family for COVID-19,06/09/20
55,Should I make my own hand sanitizer if I can’t find it in the stores?,"


CDC recommends handwashing with soap and water for at least 20 seconds or, using alcohol-based hand sanitizer with at least 60% alcohol when soap and water are not available. These actions are part of everyday preventive actions individuals can take to slow the spread of respiratory diseases like COVID-19.

When washing hands, you can use plain soap or antibacterial soap. Plain soap is as effective as antibacterial soap at removing germs.
If soap and water are not readily available, you can use an FDA-approved alcohol-based hand sanitizer that contains at least 60% alcohol. You can tell if the sanitizer contains at least 60% alcohol by looking at the product label.

CDC does not encourage the production and use of homemade hand sanitizer products because of concerns over the correct use of the ingredientsexternal iconexternal icon and the need to work under sterile conditions to make the product. Local industries that are looking into producing hand sanitizer to fill in for commercial shortages can refer to the World Health Organization guidancepdf iconexternal iconpdf iconexternal icon. Organizations should revert to the use of commercially produced, FDA-approved product once such supplies again become available.

To be effective against killing some types of germs, hand sanitizers need to have a strength of at least 60% alcohol and be used when hands are not visibly dirty or greasy.
Do not rely on “Do It Yourself” or “DIY” recipes based solely on essential oils or formulated without correct compounding practices.
Do not use hand sanitizer to disinfect frequently touched surfaces and objects. See CDC’s information for cleaning and sanitizing your home.

See FAQs about hand hygiene for healthcare personnel responding to COVID-2019.


","


CDC recommends handwashing with soap and water for at least 20 seconds or, using alcohol-based hand sanitizer with at least 60% alcohol when soap and water are not available",Preparing Your Home and Family for COVID-19,06/09/20
56,What should I do if there is an outbreak in my community?,"During an outbreak, stay calm and put your preparedness plan to work. Follow the steps below:
Protect yourself and others.

Stay home if you are sick. Keep away from people who are sick. Limit close contact with others as much as possible (about 6 feet).

Put your household plan into action.

Stay informed about the local COVID-19 situation. Be aware of temporary school dismissals in your area, as this may affect your household’s daily routine.


Continue practicing everyday preventive actions. Cover coughs and sneezes with a tissue and wash your hands often with soap and water for at least 20 seconds. If soap and water are not available, use a hand sanitizer that contains 60% alcohol. Clean frequently touched surfaces and objects daily using a regular household detergent and water.
Notify your workplace as soon as possible if your regular work schedule changes. Ask to work from home or take leave if you or someone in your household gets sick with COVID-19 symptoms, or if your child’s school is dismissed temporarily. Learn how businesses and employers can plan for and respond to COVID-19.
Stay in touch with others by phone or email. If you have a chronic medical condition and live alone, ask family, friends, and health care providers to check on you during an outbreak. Stay in touch with family and friends, especially those at increased risk of developing severe illness, such as older adults and people with severe chronic medical conditions.

","During an outbreak, stay calm and put your preparedness plan to work",In Case of an Outbreak in Your Community,06/09/20
57,Will schools be dismissed if there is an outbreak in my community?,"Depending on the situation, public health officials may recommend community actions to reduce exposures to COVID-19, such as school dismissals. Read or watch local media sources that report school dismissals or and watch for communication from your child’s school. If schools are dismissed temporarily, discourage students and staff from gathering or socializing anywhere, like at a friend’s house, a favorite restaurant, or the local shopping mall.","Depending on the situation, public health officials may recommend community actions to reduce exposures to COVID-19, such as school dismissals",In Case of an Outbreak in Your Community,06/09/20
58,Should I go to work if there is an outbreak in my community?,"Follow the advice of your local health officials. Stay home if you can. Talk to your employer to discuss working from home, taking leave if you or someone in your household gets sick with COVID-19 symptoms, or if your child’s school is dismissed temporarily. Employers should be aware that more employees may need to stay at home to care for sick children or other sick family members than is usual in case of a community outbreak.",Follow the advice of your local health officials,In Case of an Outbreak in Your Community,06/09/20
59,Will businesses and schools close or stay closed in my community and for how long? Will there be a “stay at home” or “shelter in place” order in my community?,"CDC makes recommendations, shares information, and provides guidance to help slow down the spread of COVID-19 in the U.S. including guidance for schools and businesses. CDC regularly shares information and provides assistance to state, local, territorial, and tribal health authorities. These local authorities are responsible for making decisions including  “stay at home” or “shelter in place.” What is included in these orders and how they are implemented are also decided by local authorities. These decisions may also depend on many factors such as how the virus is spreading in a certain community.
Please contact your local health department to find out more.","CDC makes recommendations, shares information, and provides guidance to help slow down the spread of COVID-19 in the U",In Case of an Outbreak in Your Community,06/09/20
60,Can CDC tell me or my employer when it is safe for me to go back to work/school after recovering from or being exposed to COVID-19?,"CDC cannot address the policies of any business or organization. CDC shares recommendations based on the best available science to help people make decisions that improve their health and safety. Employers, schools, and organizations may decide to visibly screen for symptoms or perform on-site symptom checks.
If your employer, school, or organization requires you to present documentation regarding COVID-19 before returning to work or school (for example, proof of a negative COVID-19 lab test, if a test was performed, contact your healthcare provider to ask if he or she would be able to provide a form of documentation for you. Documentation of self-isolation and self-quarantine may not be possible.
CDC has guidance for when and how people with COVID-19 can discontinue home isolation: https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/steps-when-sick.html.
CDC also has guidance for what people should do if they think they have been exposed or feel sick: https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/social-distancing.html.
In all cases, follow the guidance of your healthcare provider and local health department. Local decisions depend on local circumstances.",CDC cannot address the policies of any business or organization,In Case of an Outbreak in Your Community,06/09/20
61,What are the symptoms and complications that COVID-19 can cause?,"People with COVID-19 have had a wide range of symptoms reported – ranging from mild symptoms to severe illness. Symptoms may appear 2-14 days after exposure to the virus. People with these symptoms may have COVID-19:

Fever or chills
Cough
Shortness of breath or difficulty breathing
Fatigue
Muscle or body aches
Headache
New loss of taste or smell
Sore throat
Congestion or runny nose
Nausea or vomiting
Diarrhea

This list does not include all possible symptoms. CDC will continue to update this list as we learn more about COVID-19.
Read more about COVID-19 Symptoms.",People with COVID-19 have had a wide range of symptoms reported – ranging from mild symptoms to severe illness,Symptoms & Testing,06/09/20
62,Is it possible to have the flu and COVID-19 at the same time?,Yes. It is possible to test positive for flu (as well as other respiratory infections) and COVID-19 at the same time.,Yes,Symptoms & Testing,06/09/20
63,Should I be tested for COVID-19?,"Maybe; not everyone needs to be tested for COVID-19.
If you have symptoms of COVID-19 and want to get tested, call your healthcare provider first.
You can also visit your state or local health department’s website to look for the latest local information on testing. See Test for Past Infection for more information.",Maybe; not everyone needs to be tested for COVID-19,Symptoms & Testing,06/09/20
64,How can I get tested for COVID-19?,"Two kinds of tests are available for COVID-19: viral tests and antibody tests. A viral test checks for a current infection. An antibody test checks for a previous infection.
If you think you need a viral test, call your healthcare provider or state or localexternal icon health department and tell them about your symptoms and how you think you may have been exposed to the virus. Your healthcare provider can let you know if they offer viral tests at their office. Your state or local health department can provide local information on where testing is available. See Testing for Current Infection for more information.
If you want an antibody test, call your healthcare provider to see if they offer antibody tests and whether you should get one. You can also visit your state or local health department’s website for local information on antibody testing.",Two kinds of tests are available for COVID-19: viral tests and antibody tests,Symptoms & Testing,06/09/20
65,Can someone test negative and later test positive on a viral test for COVID-19?,"Yes, it is possible. You may test negative if the sample was collected early in your infection and test positive later during this illness. You could also be exposed to COVID-19 after the test and get infected then. Even if you test negative, you still should take steps to protect yourself and others. See Testing for Current Infection for more information.","Yes, it is possible",Symptoms & Testing,06/09/20
66,What kind of tests are being used to diagnose COVID-19?,"Viral tests are used to diagnose COVID-19. These tests tell you if you currently have an infection with the virus that causes COVID-19. There are many viral tests available. All of the viral tests identify the virus in respiratory samples, such as from swabs from the inside of your nose.
Some tests are conducted at the testing site you visit, and results are available to you within minutes. Other tests must be sent to a laboratory to analyze, a process that takes 1-2 days once the laboratory receives your samples. Two tests allow you to collect your sample at home – either a swab from the inside of your nose or a saliva sample – but you will still need to send the sample to a laboratory for processing.
Locations and types of testing sites vary depending on where you live (see question: Where can I get tested). Check with your testing site to learn which test it uses. You can find a patient information sheet about each test on FDA’s websiteexternal icon.",Viral tests are used to diagnose COVID-19,Symptoms & Testing,06/09/20
67,What is antibody testing? And can I be tested using this method?,"Antibody testing checks a sample of a person’s blood to look for antibodies to the virus that causes COVID-19. When someone gets COVID-19, their body usually makes antibodies. However, it typically takes one to three weeks to develop these antibodies. Some people may take even longer to develop antibodies, and some people may not develop antibodies. A positive result from this test may mean that person was previously infected with the virus. Talk to your healthcare provider about what your antibody test result means.
Antibody tests should not be used to diagnose COVID-19. To see if you are currently infected, you need a viral test. Viral tests identify the virus in respiratory samples, such as swabs from the inside of your nose.
We do not know yet if having antibodies to the virus that causes COVID-19 can protect someone from getting infected again or, if they do, how long this protection might last. Scientists are conducting research to answer those questions.",Antibody testing checks a sample of a person’s blood to look for antibodies to the virus that causes COVID-19,Symptoms & Testing,06/09/20
68,"If I have recovered from COVID-19, will I be immune to it?","We do not know yet if people who recover from COVID-19 can get infected again. CDC and partners are investigating to determine if a person can get sick with COVID-19 more than once. Until we know more, continue to take steps to protect yourself and others.",We do not know yet if people who recover from COVID-19 can get infected again,Symptoms & Testing,06/09/20
69,Who is at higher risk for serious illness from COVID-19?,"COVID-19 is a new disease and there is limited information regarding risk factors for severe disease. Based on currently available information and clinical expertise, older adults and people of any age who have serious underlying medical conditions might be at higher risk for severe illness from COVID-19.
Based on what we know now, those at high-risk for severe illness from COVID-19 are:

People aged 65 years and older
People who live in a nursing home or long-term care facility

People of all ages with underlying medical conditions, particularly if not well controlled, including:

People with chronic lung disease or moderate to severe asthma
People who have serious heart conditions
People who are immunocompromised

Many conditions can cause a person to be immunocompromised, including cancer treatment, smoking, bone marrow or organ transplantation, immune deficiencies, poorly controlled HIV or AIDS, and prolonged use of corticosteroids and other immune weakening medications


People with severe obesity (body mass index [BMI] ≥40)
People with diabetes
People with chronic kidney disease undergoing dialysis
People with liver disease

",COVID-19 is a new disease and there is limited information regarding risk factors for severe disease,Higher Risk,06/09/20
70,What should people at higher risk of serious illness with COVID-19 do?,"If you are at higher risk of getting very sick from COVID-19, you should:

Stock up on supplies
Take everyday precautions to keep space between yourself and others
When you go out in public, keep away from others who are sick
Limit close contact and wash your hands often
Avoid crowds, cruise travel, and non-essential travel

If there is an outbreak in your community, stay home as much as possible. Watch for symptoms and emergency signs. If you get sick, stay home and call your doctor. More information on how to prepare, what to do if you get sick, and how communities and caregivers can support those at higher risk is available on People at Risk for Serious Illness from COVID-19.","If you are at higher risk of getting very sick from COVID-19, you should:

Stock up on supplies
Take everyday precautions to keep space between yourself and others
When you go out in public, keep away from others who are sick
Limit close contact and wash your hands often
Avoid crowds, cruise travel, and non-essential travel

If there is an outbreak in your community, stay home as much as possible",Higher Risk,06/09/20
71,How were the underlying conditions for people considered higher risk of serious illness with COVID-19 selected?,"This list is based on:

What we are learning from the outbreak in other countries and in the United States.
What we know about risk from other respiratory infections, like flu.

As CDC gets more information about COVID-19 cases here in the United States, we will update this list as needed.","This list is based on:

What we are learning from the outbreak in other countries and in the United States",Higher Risk,06/09/20
72,Are there any medications I should avoid taking if I have COVID-19?,"
Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.
People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.
","
Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19",Higher Risk,06/09/20
73,What about underlying medical conditions that are not included on this list?,"Based on available information, adults aged 65 years and older and people of any age with underlying medical conditions included on this list are at higher risk for severe illness and poorer outcomes from COVID-19. CDC is collecting and analyzing data regularly and will update the list when we learn more. People with underlying medical conditions not on the list might also be at higher risk and should consult with their healthcare provider if they are concerned.
We encourage all people, regardless of risk, to:

Take steps to protect yourself and others.
Call your healthcare provider if you are sick with a fever, cough, or shortness of breath.
Follow CDC travel guidelines and the recommendations of your state and local health officials.

","Based on available information, adults aged 65 years and older and people of any age with underlying medical conditions included on this list are at higher risk for severe illness and poorer outcomes from COVID-19",Higher Risk,06/09/20
74,What does a well-controlled health condition mean?,"Generally, well-controlled means that your condition is stable, not life-threatening, and laboratory assessments and other findings are as similar as possible to those without the health condition. You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.","Generally, well-controlled means that your condition is stable, not life-threatening, and laboratory assessments and other findings are as similar as possible to those without the health condition",Higher Risk,06/09/20
75,What does more severe illness mean?,Severity typically means how much impact the illness or condition has on your body’s function.  You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.,Severity typically means how much impact the illness or condition has on your body’s function,Higher Risk,06/09/20
76,Are people with disabilities at higher risk?,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19.  Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition.

People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities.

You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.",Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19,Higher Risk,06/09/20
77,Are people with high blood pressure (hypertension) at higher risk from COVID-19?,"At this time, we do not think that people with high blood pressure and no other underlying health conditions are more likely than others to get severely ill from COVID-19. Although many people who have gotten severely ill from COVID-19 have high blood pressure, they are often older or have other medical conditions like obesity, diabetes, and serious heart conditions that place them at higher risk of severe illness from COVID-19.
If you have high blood pressure, it’s critically important that you keep your blood pressure under control to lower your risk for heart disease and strokes. Take your blood pressure medications as directed, keep a log of your blood pressure every day if you are able to take your blood pressure at home, and work with your healthcare team to make sure your blood pressure is well controlled. Any changes to your medications should be made in consultation with your healthcare team.","At this time, we do not think that people with high blood pressure and no other underlying health conditions are more likely than others to get severely ill from COVID-19",COVID-19 and Hypertension,06/09/20
78,Should I continue to take my blood pressure medication?,"Yes. Continue to take your blood pressure medications exactly as prescribed and make lifestyle modifications agreed upon in your treatment plan. Continue all your regular medications, including angiotensin-converting enzyme inhibitors (ACE-Is) or angiotensin receptor blockers (ARBs), as prescribed by your healthcare team. This is recommended by current clinical guidelines from the American Heart Association, the Heart Failure Society of America, and the American College of Cardiology.",Yes,COVID-19 and Hypertension,06/09/20
79,What should healthcare professionals and health departments do?,"For recommendations and guidance on persons under investigation; infection control, including personal protective equipment guidance; home care and isolation; and case investigation, see Information for Healthcare Professionals. For information on specimen collection and shipment, see Information for Laboratories. For information for public health professional on COVID-19, see Information for Public Health Professionals.","For recommendations and guidance on persons under investigation; infection control, including personal protective equipment guidance; home care and isolation; and case investigation, see Information for Healthcare Professionals",Healthcare Professionals and Health Departments,06/09/20
80,Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,There is currently no known risk associated with being in the same room at a funeral or visitation service with the body of someone who died of COVID-19.,There is currently no known risk associated with being in the same room at a funeral or visitation service with the body of someone who died of COVID-19,COVID-19 and Funerals,06/09/20
81,Am I at risk if I touch someone who died of COVID-19 after they have passed away?,"COVID-19 is a new disease and we are still learning how it spreads. The virus that causes COVID-19 is thought to mainly spread from close contact (i.e., within about 6 feet) with a person who is currently sick with COVID-19. The virus likely spreads primarily through respiratory droplets produced when an infected person coughs or sneezes, similar to how influenza and other respiratory infections spread. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. This type of spread is not a concern after death.
It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads.
People should consider not touching the body of someone who has died of COVID-19. Older people and people of all ages with severe underlying health conditions are at higher risk of developing serious COVID-19 illness. There may be less of a chance of the virus spreading from certain types of touching, such as holding the hand or hugging after the body has been prepared for viewing. Other activities, such as kissing, washing, and shrouding should be avoided before, during, and after the body has been prepared, if possible. If washing the body or shrouding are important religious or cultural practices, families are encouraged to work with their community’s cultural and religious leaders and funeral home staff on how to reduce their exposure as much as possible. At a minimum, people conducting these activities should wear disposable gloves. If splashing of fluids is expected, additional personal protective equipment (PPE) may be required (such as disposable gown, faceshield or goggles and N-95 respirator).
Cleaning should be conducted in accordance with manufacturer’s instructions for all cleaning and disinfection products (e.g., concentration, application method and contact time). Products with EPA-approved emerging viral pathogens claimspdf iconexternal iconexternal icon are expected to be effective against COVID-19 based on data for harder to kill viruses. After removal of PPE, perform hand hygiene by washing hands with soap and water for at least 20 seconds or using an alcohol-based hand sanitizer that contains at least 60% alcohol if soap and water are not available. Soap and water should be used if the hands are visibly soiled.",COVID-19 is a new disease and we are still learning how it spreads,COVID-19 and Funerals,06/09/20
82,What do funeral home workers need to know about handling decedents who had COVID-19?,"A funeral or visitation service can be held for a person who has died of COVID-19. Funeral home workers should follow their routine infection prevention and control precautions when handling a decedent who died of COVID-19. If it is necessary to transfer a body to a bag, follow Standard Precautions, including additional personal protective equipment (PPE) if splashing of fluids is expected. For transporting a body after the body has been bagged, disinfect the outside of the bag with a product with EPA-approved emerging viral pathogens claimspdf iconexternal iconexternal icon expected to be effective against COVID-19 based on data for harder to kill viruses. Follow the manufacturer’s instructions for all cleaning and disinfection products (e.g., concentration, application method and contact time, etc.). Wear disposable nitrile gloves when handling the body bag.
Embalming can be conducted. During embalming, follow Standard Precautions including the use of additional PPE if splashing is expected (e.g. disposable gown, faceshield or goggles and N95 respirator). Wear appropriate respiratory protection if any procedures will generate aerosols or if required for chemicals used in accordance with the manufacturer’s label. Wear heavy-duty gloves over nitrile disposable gloves if there is a risk of cuts, puncture wounds, or other injuries that break the skin. Additional information on how to safely conduct aerosol-generating procedures is in the CDC’s Postmortem Guidance. Cleaning should be conducted in accordance with manufacturer’s instructions. Products with EPA-approved emerging viral pathogens claimspdf iconexternal iconexternal icon are expected to be effective against COVID-19 based on data for harder to kill viruses. Follow the manufacturer’s instructions for all cleaning and disinfection products (e.g., concentration, application method and contact time).
After cleaning and removal of PPE, perform hand hygiene by washing hands with soap and water for at least 20 seconds or using an alcohol-based hand sanitizer that contains at least 60% alcohol if soap and water is not available. Soap and water should be used if the hands are visibly soiled.
Decedents with COVID-19 can be buried or cremated, but check for any additional state and local requirements that may dictate the handling and disposition of the remains of individuals who have died of certain infectious diseases.",A funeral or visitation service can be held for a person who has died of COVID-19,COVID-19 and Funerals,06/09/20
83,How can loved ones safely handle belongings of someone who died from COVID-19?,"The belongings of someone who has died of suspected or confirmed COVID-19 outside their home (for example, in a hospital setting) may be returned to family members along with instructions for cleaning and disinfection. Depending on local rules and regulations, family members may retrieve these belongings at the funeral home or the healthcare facility.
Family members should use gloves and practice good hand hygiene when handling these items. Depending on the belongings received, family members should also follow the household item-specific cleaning and disinfection guidelines for personal items, such as electronics.","The belongings of someone who has died of suspected or confirmed COVID-19 outside their home (for example, in a hospital setting) may be returned to family members along with instructions for cleaning and disinfection",COVID-19 and Funerals,06/09/20
84,What should I do if my family member died from COVID-19 while overseas?,"When a US citizen dies outside the United States, the deceased person’s next of kin or legal representative should notify US consular officials at the Department of State. Consular personnel are available 24 hours a day, 7 days a week, to provide assistance to US citizens for overseas emergencies. If a family member, domestic partner, or legal representative is in a different country from the deceased person, he or she should call the Department of State’s Office of Overseas Citizens Services in Washington, DC, from 8 am to 5 pm Eastern time, Monday through Friday, at 888-407-4747 (toll-free) or 202-501-4444. For emergency assistance after working hours or on weekends and holidays, call the Department of State switchboard at 202-647-4000 and ask to speak with the Overseas Citizens Services duty officer. In addition, the US embassyexternal iconexternal iconexternal icon closest to or in the country where the US citizen died can provide assistance.","When a US citizen dies outside the United States, the deceased person’s next of kin or legal representative should notify US consular officials at the Department of State",COVID-19 and Funerals,06/09/20
