,claim,explanation,source,label,claim_source,date,fact_check_url
39,Families should take extra steps recommended for persons with higher risk of severe COVID-19 illness and steps outlined for those with potential COVID-19 exposure or confirmed illness,"What additional steps should families that have a child with an underlying medical condition or special health care need take? In addition to following the recommendations to prevent getting sick and running essential errands, families should take extra steps recommended for persons with higher risk of severe COVID-19 illness and steps outlined for those with potential COVID-19 exposure or confirmed illness.
 
 Identify potential alternative caregivers, if you or other regular caregivers become sick and are unable to care for your child. If possible, these alternative caregivers would not be at higher risk of severe illness from COVID-19 themselves.
 Try to have at least one month of medication and medical supplies on hand. Some health plans allow for a 90-day supply of prescription medications. Consider discussing this option with your child’s healthcare provider.
 Review any care plans for your child, such as an asthma action plan, and make sure caregivers and backup caregivers are familiar with these plans.
 If you do not have care plans or an emergency notebook, try to make them. They typically include important information about your child’s medical conditions, how to manage those conditions, how to get in touch with your child’s doctors, allergies, information on medications (names, dosages, and administration instructions), preferences (food and other) or special needs, daily routines and activities, friends, and details about routines that are important to support behavioral and emotional health.
 Learn if your child’s healthcare providers, including doctors and therapists, have new ways to be contacted or new ways of providing appointments. If they offer telemedicine visits, find out how those are arranged and any additional information you need.
 If your child receives any support care services in the home that need to be continued, make plans for what you will do if those direct care providers get sick, or if persons in your household are sick.
 Discuss with the support care agencies and the providers ways to minimize risk for exposure to the virus that causes COVID-19.
 
 If your child or other persons in your household are sick with COVID-19 and are able to recover at home, inform your direct care providers and consider postponing or rescheduling services until the criteria for discontinuing home isolation have been met.
 Ask service providers if they are experiencing any symptoms of COVID-19, or if they have been in contact with someone who has COVID-19.
 Tell the service provider to:
 
 Wear a cloth face covering if they will be close (less than 6 feet) to you or persons in your household. Their cloth face covering helps protect you if they are infected but do not have symptoms.
 Ask them to wash their hands with soap and water or, if unavailable, use hand sanitizer with at least 60% alcohol when they enter your home, before and after helping your child (dressing, bathing/showering, transferring, toileting and/or diapering, feeding), after handling tissues, and after changing linens or doing laundry. Learn more about proper handwashing.
 
 
 Service providers and families should:
 
 Routinely clean and disinfect frequently touched objects and surfaces (counters, tabletops, doorknobs, bathroom fixtures, toilets, phones, keyboards, tablets, bedside tables), and equipment such as wheelchairs, scooters, walkers, oxygen tanks and tubing, communication boards, and other assistive devices. Refer to CDC’s recommendations for Cleaning and Disinfecting Your Home.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
40,Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community,"How can my family and I prepare for COVID-19? Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community:
 
 Talk with the people who need to be included in your plan, and discuss what to do if a COVID-19 outbreak occurs in your community.
 Plan ways to care for those who might be at greater risk for serious complications, particularly older adults and those with severe chronic medical conditions like heart, lung or kidney disease.
 
 Make sure they have access to several weeks of medications and supplies in case you need to stay home for prolonged periods of time.
 
 
 Get to know your neighbors and find out if your neighborhood has a website or social media page to stay connected.
 Create a list of local organizations that you and your household can contact in the event you need access to information, healthcare services, support, and resources.
 Create an emergency contact list of family, friends, neighbors, carpool drivers, health care providers, teachers, employers, the local public health department, and other community resources.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
41,Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same,"What steps can my family take to reduce our risk of getting COVID-19? Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same. These actions are especially important for older adults and people who have severe chronic medical conditions:
 
 Avoid close contact with people who are sick.
 Stay home when you are sick, except to get medical care.
 Cover your coughs and sneezes with a tissue and throw the tissue in the trash.
 Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
 If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
 Clean and disinfect frequently touched surfaces and objects (e.g., tables, countertops, light switches, doorknobs, and cabinet handles).
 Launder items, including washable plush toys, as appropriate and in accordance with the manufacturer’s instructions. If possible, launder items using the warmest appropriate water setting for the items and dry items completely. Dirty laundry from an ill person can be washed with other people’s items.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
42,"If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.","What steps can my family take to reduce our risk of getting COVID-19? Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same. These actions are especially important for older adults and people who have severe chronic medical conditions:
 
 Avoid close contact with people who are sick.
 Stay home when you are sick, except to get medical care.
 Cover your coughs and sneezes with a tissue and throw the tissue in the trash.
 Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
 If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
 Clean and disinfect frequently touched surfaces and objects (e.g., tables, countertops, light switches, doorknobs, and cabinet handles).
 Launder items, including washable plush toys, as appropriate and in accordance with the manufacturer’s instructions. If possible, launder items using the warmest appropriate water setting for the items and dry items completely. Dirty laundry from an ill person can be washed with other people’s items.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
43,"Stay home when you are sick, except to get medical care.","What steps can my family take to reduce our risk of getting COVID-19? Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same. These actions are especially important for older adults and people who have severe chronic medical conditions:
 
 Avoid close contact with people who are sick.
 Stay home when you are sick, except to get medical care.
 Cover your coughs and sneezes with a tissue and throw the tissue in the trash.
 Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
 If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
 Clean and disinfect frequently touched surfaces and objects (e.g., tables, countertops, light switches, doorknobs, and cabinet handles).
 Launder items, including washable plush toys, as appropriate and in accordance with the manufacturer’s instructions. If possible, launder items using the warmest appropriate water setting for the items and dry items completely. Dirty laundry from an ill person can be washed with other people’s items.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
44,Most people who get COVID-19 will be able to recover at home,"What should I do if someone in my house gets sick with COVID-19? Most people who get COVID-19 will be able to recover at home. CDC has directions for people who are recovering at home and their caregivers, including:
 
 Stay home when you are sick, except to get medical care.
 
 When to Seek Emergency Medical AttentionLook for emergency warning signs* for COVID-19. If someone is showing any of these signs, seek emergency medical care immediately
 
 Trouble breathing
 Persistent pain or pressure in the chest
 New confusion
 Inability to wake or stay awake
 Bluish lips or face
 
 *This list is not all possible symptoms. Please call your medical provider for any other symptoms that are severe or concerning to you.
 Call 911 or call ahead to your local emergency facility: Notify the operator that you are seeking care for someone who has or may have COVID-19.
 
 
 
 Use a separate room and bathroom for sick household members (if possible).
 Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
 If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
 Provide your sick household member with clean disposable facemasks to wear at home, if available, to help prevent spreading COVID-19 to others.
 Clean the sick room and bathroom, as needed, to avoid unnecessary contact with the sick person.
 Avoid sharing personal items like utensils, food, and drinks.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
45,Handwashing is one of the best ways to protect yourself and your family from getting sick,"Should I use soap and water or a hand sanitizer to protect against COVID-19? Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
46,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks","What cleaning products should I use to protect against COVID-19? Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.  If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See CDC’s recommendations for household cleaning and disinfection.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
47,"CDC recommends handwashing with soap and water for at least 20 seconds or, using alcohol-based hand sanitizer with at least 60% alcohol when soap and water are not available","Should I make my own hand sanitizer if I can’t find it in the stores? CDC recommends handwashing with soap and water for at least 20 seconds or, using alcohol-based hand sanitizer with at least 60% alcohol when soap and water are not available. These actions are part of everyday preventive actions individuals can take to slow the spread of respiratory diseases like COVID-19.
 
 When washing hands, you can use plain soap or antibacterial soap. Plain soap is as effective as antibacterial soap at removing germs.
 If soap and water are not readily available, you can use an FDA-approved alcohol-based hand sanitizer that contains at least 60% alcohol. You can tell if the sanitizer contains at least 60% alcohol by looking at the product label.
 
 CDC does not encourage the production and use of homemade hand sanitizer products because of concerns over the correct use of the ingredientsexternal iconexternal icon and the need to work under sterile conditions to make the product. Local industries that are looking into producing hand sanitizer to fill in for commercial shortages can refer to the World Health Organization guidancepdf iconexternal iconpdf iconexternal icon. Organizations should revert to the use of commercially produced, FDA-approved product once such supplies again become available.
 
 To be effective against killing some types of germs, hand sanitizers need to have a strength of at least 60% alcohol and be used when hands are not visibly dirty or greasy.
 Do not rely on “Do It Yourself” or “DIY” recipes based solely on essential oils or formulated without correct compounding practices.
 Do not use hand sanitizer to disinfect frequently touched surfaces and objects. See CDC’s information for cleaning and sanitizing your home.
 
 See FAQs about hand hygiene for healthcare personnel responding to COVID-2019.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
48,"Stay home if you are sick. Keep away from people who are sick. Limit close contact with others as much as possible (about 6 feet).
","What should I do if there is an outbreak in my community? During an outbreak, stay calm and put your preparedness plan to work. Follow the steps below:
 Protect yourself and others.
 
 Stay home if you are sick. Keep away from people who are sick. Limit close contact with others as much as possible (about 6 feet).
 
 Put your household plan into action.
 
 Stay informed about the local COVID-19 situation. Be aware of temporary school dismissals in your area, as this may affect your household’s daily routine.
 
 
 Continue practicing everyday preventive actions. Cover coughs and sneezes with a tissue and wash your hands often with soap and water for at least 20 seconds. If soap and water are not available, use a hand sanitizer that contains 60% alcohol. Clean frequently touched surfaces and objects daily using a regular household detergent and water.
 Notify your workplace as soon as possible if your regular work schedule changes. Ask to work from home or take leave if you or someone in your household gets sick with COVID-19 symptoms, or if your child’s school is dismissed temporarily. Learn how businesses and employers can plan for and respond to COVID-19.
 Stay in touch with others by phone or email. If you have a chronic medical condition and live alone, ask family, friends, and health care providers to check on you during an outbreak. Stay in touch with family and friends, especially those at increased risk of developing severe illness, such as older adults and people with severe chronic medical conditions.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
49,"Public health officials may recommend community actions to reduce exposures to COVID-19, such as school dismissals","Will schools be dismissed if there is an outbreak in my community? Depending on the situation, public health officials may recommend community actions to reduce exposures to COVID-19, such as school dismissals. Read or watch local media sources that report school dismissals or and watch for communication from your child’s school. If schools are dismissed temporarily, discourage students and staff from gathering or socializing anywhere, like at a friend’s house, a favorite restaurant, or the local shopping mall.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
50,"CDC makes recommendations, shares information, and provides guidance to help slow down the spread of COVID-19 in the U","Will businesses and schools close or stay closed in my community and for how long? Will there be a “stay at home” or “shelter in place” order in my community? CDC makes recommendations, shares information, and provides guidance to help slow down the spread of COVID-19 in the U.S. including guidance for schools and businesses. CDC regularly shares information and provides assistance to state, local, territorial, and tribal health authorities. These local authorities are responsible for making decisions including  “stay at home” or “shelter in place.” What is included in these orders and how they are implemented are also decided by local authorities. These decisions may also depend on many factors such as how the virus is spreading in a certain community.
 Please contact your local health department to find out more.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
51,CDC cannot address the policies of any business or organization,"Can CDC tell me or my employer when it is safe for me to go back to work/school after recovering from or being exposed to COVID-19? CDC cannot address the policies of any business or organization. CDC shares recommendations based on the best available science to help people make decisions that improve their health and safety. Employers, schools, and organizations may decide to visibly screen for symptoms or perform on-site symptom checks.
 If your employer, school, or organization requires you to present documentation regarding COVID-19 before returning to work or school (for example, proof of a negative COVID-19 lab test, if a test was performed, contact your healthcare provider to ask if he or she would be able to provide a form of documentation for you. Documentation of self-isolation and self-quarantine may not be possible.
 CDC has guidance for when and how people with COVID-19 can discontinue home isolation: https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/steps-when-sick.html.
 CDC also has guidance for what people should do if they think they have been exposed or feel sick: https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/social-distancing.html.
 In all cases, follow the guidance of your healthcare provider and local health department. Local decisions depend on local circumstances.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
52,"People with COVID-19 have had a wide range of symptoms reported, all ranging from mild symptoms to severe illness","What are the symptoms and complications that COVID-19 can cause? People with COVID-19 have had a wide range of symptoms reported – ranging from mild symptoms to severe illness. Symptoms may appear 2-14 days after exposure to the virus. People with these symptoms may have COVID-19:
 
 Fever or chills
 Cough
 Shortness of breath or difficulty breathing
 Fatigue
 Muscle or body aches
 Headache
 New loss of taste or smell
 Sore throat
 Congestion or runny nose
 Nausea or vomiting
 Diarrhea
 
 This list does not include all possible symptoms. CDC will continue to update this list as we learn more about COVID-19.
 Read more about COVID-19 Symptoms.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
53,It is possible to test positive for flu (as well as other respiratory infections) and COVID-19 at the same time.,Is it possible to have the flu and COVID-19 at the same time? Yes. It is possible to test positive for flu (as well as other respiratory infections) and COVID-19 at the same time.,CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
54,Not everyone needs to be tested for COVID-19,"Should I be tested for COVID-19? Maybe; not everyone needs to be tested for COVID-19.
 If you have symptoms of COVID-19 and want to get tested, call your healthcare provider first.
 You can also visit your state or local health department’s website to look for the latest local information on testing. See Test for Past Infection for more information.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
55,Two kinds of tests are available for COVID-19: viral tests and antibody tests,"How can I get tested for COVID-19? Two kinds of tests are available for COVID-19: viral tests and antibody tests. A viral test checks for a current infection. An antibody test checks for a previous infection.
 If you think you need a viral test, call your healthcare provider or state or localexternal icon health department and tell them about your symptoms and how you think you may have been exposed to the virus. Your healthcare provider can let you know if they offer viral tests at their office. Your state or local health department can provide local information on where testing is available. See Testing for Current Infection for more information.
 If you want an antibody test, call your healthcare provider to see if they offer antibody tests and whether you should get one. You can also visit your state or local health department’s website for local information on antibody testing.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
56,A viral test checks for a current infection,"How can I get tested for COVID-19? Two kinds of tests are available for COVID-19: viral tests and antibody tests. A viral test checks for a current infection. An antibody test checks for a previous infection.
 If you think you need a viral test, call your healthcare provider or state or localexternal icon health department and tell them about your symptoms and how you think you may have been exposed to the virus. Your healthcare provider can let you know if they offer viral tests at their office. Your state or local health department can provide local information on where testing is available. See Testing for Current Infection for more information.
 If you want an antibody test, call your healthcare provider to see if they offer antibody tests and whether you should get one. You can also visit your state or local health department’s website for local information on antibody testing.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
57,An antibody test checks for a previous infection.,"How can I get tested for COVID-19? Two kinds of tests are available for COVID-19: viral tests and antibody tests. A viral test checks for a current infection. An antibody test checks for a previous infection.
 If you think you need a viral test, call your healthcare provider or state or localexternal icon health department and tell them about your symptoms and how you think you may have been exposed to the virus. Your healthcare provider can let you know if they offer viral tests at their office. Your state or local health department can provide local information on where testing is available. See Testing for Current Infection for more information.
 If you want an antibody test, call your healthcare provider to see if they offer antibody tests and whether you should get one. You can also visit your state or local health department’s website for local information on antibody testing.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
58,Someone can test negative and later test positive on a viral test for COVID-19?,"Can someone test negative and later test positive on a viral test for COVID-19? Yes, it is possible. You may test negative if the sample was collected early in your infection and test positive later during this illness. You could also be exposed to COVID-19 after the test and get infected then. Even if you test negative, you still should take steps to protect yourself and others. See Testing for Current Infection for more information.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
59,Viral tests are used to diagnose COVID-19,"What kind of tests are being used to diagnose COVID-19? Viral tests are used to diagnose COVID-19. These tests tell you if you currently have an infection with the virus that causes COVID-19. There are many viral tests available. All of the viral tests identify the virus in respiratory samples, such as from swabs from the inside of your nose.
 Some tests are conducted at the testing site you visit, and results are available to you within minutes. Other tests must be sent to a laboratory to analyze, a process that takes 1-2 days once the laboratory receives your samples. Two tests allow you to collect your sample at home – either a swab from the inside of your nose or a saliva sample – but you will still need to send the sample to a laboratory for processing.
 Locations and types of testing sites vary depending on where you live (see question: Where can I get tested). Check with your testing site to learn which test it uses. You can find a patient information sheet about each test on FDA’s websiteexternal icon.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
60,Antibody testing checks a sample of a person's blood to look for antibodies to the virus that causes COVID-19,"What is antibody testing? And can I be tested using this method? Antibody testing checks a sample of a person’s blood to look for antibodies to the virus that causes COVID-19. When someone gets COVID-19, their body usually makes antibodies. However, it typically takes one to three weeks to develop these antibodies. Some people may take even longer to develop antibodies, and some people may not develop antibodies. A positive result from this test may mean that person was previously infected with the virus. Talk to your healthcare provider about what your antibody test result means.
 Antibody tests should not be used to diagnose COVID-19. To see if you are currently infected, you need a viral test. Viral tests identify the virus in respiratory samples, such as swabs from the inside of your nose.
 We do not know yet if having antibodies to the virus that causes COVID-19 can protect someone from getting infected again or, if they do, how long this protection might last. Scientists are conducting research to answer those questions.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
61,We do not know yet if people who recover from COVID-19 can get infected again,"If I have recovered from COVID-19, will I be immune to it? We do not know yet if people who recover from COVID-19 can get infected again. CDC and partners are investigating to determine if a person can get sick with COVID-19 more than once. Until we know more, continue to take steps to protect yourself and others.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
62,COVID-19 is a new disease and there is limited information regarding risk factors for severe disease,"Who is at higher risk for serious illness from COVID-19? COVID-19 is a new disease and there is limited information regarding risk factors for severe disease. Based on currently available information and clinical expertise, older adults and people of any age who have serious underlying medical conditions might be at higher risk for severe illness from COVID-19.
 Based on what we know now, those at high-risk for severe illness from COVID-19 are:
 
 People aged 65 years and older
 People who live in a nursing home or long-term care facility
 
 People of all ages with underlying medical conditions, particularly if not well controlled, including:
 
 People with chronic lung disease or moderate to severe asthma
 People who have serious heart conditions
 People who are immunocompromised
 
 Many conditions can cause a person to be immunocompromised, including cancer treatment, smoking, bone marrow or organ transplantation, immune deficiencies, poorly controlled HIV or AIDS, and prolonged use of corticosteroids and other immune weakening medications
 
 
 People with severe obesity (body mass index [BMI] ≥40)
 People with diabetes
 People with chronic kidney disease undergoing dialysis
 People with liver disease",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
63,"If you are at higher risk of getting very sick from COVID-19, you should limit close contact and wash your hands often","What should people at higher risk of serious illness with COVID-19 do? If you are at higher risk of getting very sick from COVID-19, you should:
 
 Stock up on supplies
 Take everyday precautions to keep space between yourself and others
 When you go out in public, keep away from others who are sick
 Limit close contact and wash your hands often
 Avoid crowds, cruise travel, and non-essential travel
 
 If there is an outbreak in your community, stay home as much as possible. Watch for symptoms and emergency signs. If you get sick, stay home and call your doctor. More information on how to prepare, what to do if you get sick, and how communities and caregivers can support those at higher risk is available on People at Risk for Serious Illness from COVID-19.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
64,There is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19,"Are there any medications I should avoid taking if I have COVID-19? Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.
 People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
65,Adults aged 65 years and older and people of any age with underlying medical conditions included on this list are at higher risk for severe illness and poorer outcomes from COVID-19,"What about underlying medical conditions that are not included on this list? Based on available information, adults aged 65 years and older and people of any age with underlying medical conditions included on this list are at higher risk for severe illness and poorer outcomes from COVID-19. CDC is collecting and analyzing data regularly and will update the list when we learn more. People with underlying medical conditions not on the list might also be at higher risk and should consult with their healthcare provider if they are concerned.
 We encourage all people, regardless of risk, to:
 
 Take steps to protect yourself and others.
 Call your healthcare provider if you are sick with a fever, cough, or shortness of breath.
 Follow CDC travel guidelines and the recommendations of your state and local health officials.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
66,"Generally, well-controlled means that your condition is stable, not life-threatening, and laboratory assessments and other findings are as similar as possible to those without the health condition","What does a well-controlled health condition mean? Generally, well-controlled means that your condition is stable, not life-threatening, and laboratory assessments and other findings are as similar as possible to those without the health condition. You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
67,Severity typically means how much impact the illness or condition has on your body's function,What does more severe illness mean? Severity typically means how much impact the illness or condition has on your body’s function.  You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.,CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
68,Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19,"Are people with disabilities at higher risk? Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19.  Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition.
 
 People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities.
 
 You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
69,"At this time, we do not think that people with high blood pressure and no other underlying health conditions are more likely than others to get severely ill from COVID-19","Are people with high blood pressure (hypertension) at higher risk from COVID-19? At this time, we do not think that people with high blood pressure and no other underlying health conditions are more likely than others to get severely ill from COVID-19. Although many people who have gotten severely ill from COVID-19 have high blood pressure, they are often older or have other medical conditions like obesity, diabetes, and serious heart conditions that place them at higher risk of severe illness from COVID-19.
 If you have high blood pressure, it’s critically important that you keep your blood pressure under control to lower your risk for heart disease and strokes. Take your blood pressure medications as directed, keep a log of your blood pressure every day if you are able to take your blood pressure at home, and work with your healthcare team to make sure your blood pressure is well controlled. Any changes to your medications should be made in consultation with your healthcare team.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
70,I should continue to take my blood pressure medication,"Should I continue to take my blood pressure medication? Yes. Continue to take your blood pressure medications exactly as prescribed and make lifestyle modifications agreed upon in your treatment plan. Continue all your regular medications, including angiotensin-converting enzyme inhibitors (ACE-Is) or angiotensin receptor blockers (ARBs), as prescribed by your healthcare team. This is recommended by current clinical guidelines from the American Heart Association, the Heart Failure Society of America, and the American College of Cardiology.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
71,There is currently no known risk associated with being in the same room at a funeral or visitation service with the body of someone who died of COVID-19,Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19? There is currently no known risk associated with being in the same room at a funeral or visitation service with the body of someone who died of COVID-19.,CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
72,"The virus that causes COVID-19 is thought to mainly spread from close contact (i.e., within about 6 feet) with a person who is currently sick with COVID-19.","Am I at risk if I touch someone who died of COVID-19 after they have passed away? COVID-19 is a new disease and we are still learning how it spreads. The virus that causes COVID-19 is thought to mainly spread from close contact (i.e., within about 6 feet) with a person who is currently sick with COVID-19. The virus likely spreads primarily through respiratory droplets produced when an infected person coughs or sneezes, similar to how influenza and other respiratory infections spread. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. This type of spread is not a concern after death.
 It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads.
 People should consider not touching the body of someone who has died of COVID-19. Older people and people of all ages with severe underlying health conditions are at higher risk of developing serious COVID-19 illness. There may be less of a chance of the virus spreading from certain types of touching, such as holding the hand or hugging after the body has been prepared for viewing. Other activities, such as kissing, washing, and shrouding should be avoided before, during, and after the body has been prepared, if possible. If washing the body or shrouding are important religious or cultural practices, families are encouraged to work with their community’s cultural and religious leaders and funeral home staff on how to reduce their exposure as much as possible. At a minimum, people conducting these activities should wear disposable gloves. If splashing of fluids is expected, additional personal protective equipment (PPE) may be required (such as disposable gown, faceshield or goggles and N-95 respirator).
 Cleaning should be conducted in accordance with manufacturer’s instructions for all cleaning and disinfection products (e.g., concentration, application method and contact time). Products with EPA-approved emerging viral pathogens claimspdf iconexternal iconexternal icon are expected to be effective against COVID-19 based on data for harder to kill viruses. After removal of PPE, perform hand hygiene by washing hands with soap and water for at least 20 seconds or using an alcohol-based hand sanitizer that contains at least 60% alcohol if soap and water are not available. Soap and water should be used if the hands are visibly soiled.",CDC,true,CDC,2020-06-12,https://www.cdc.gov/coronavirus/2019-ncov/faq.html
